id_respiratoire,annee,patho_niv1,patho_niv2,patho_niv3,top,region,dept,ntop,npop,prevalence,libelle_classe_age,libelle_sexe
47,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,11,94,1440,44080,3.267,de 0 a  4 ans,femmes
48,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,11,999,12300,374970,3.28,de 0 a  4 ans,femmes
49,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,24,41,180,7120,2.541,de 0 a  4 ans,femmes
50,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,27,58,80,3710,2.181,de 0 a  4 ans,femmes
51,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,32,2,320,12970,2.498,de 0 a  4 ans,femmes
52,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,44,10,160,7190,2.267,de 0 a  4 ans,femmes
53,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,44,51,520,14140,3.671,de 0 a  4 ans,femmes
54,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,44,67,620,28220,2.179,de 0 a  4 ans,femmes
55,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,52,49,610,20640,2.97,de 0 a  4 ans,femmes
56,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,52,72,380,13370,2.842,de 0 a  4 ans,femmes
57,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,52,85,460,14580,3.177,de 0 a  4 ans,femmes
58,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,53,35,790,27880,2.82,de 0 a  4 ans,femmes
59,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,53,56,440,16020,2.734,de 0 a  4 ans,femmes
60,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,75,16,200,7200,2.808,de 0 a  4 ans,femmes
61,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,75,19,80,4480,1.852,de 0 a  4 ans,femmes
62,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,75,23,50,1880,2.501,de 0 a  4 ans,femmes
63,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,75,64,490,14140,3.438,de 0 a  4 ans,femmes
64,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,76,11,360,7700,4.625,de 0 a  4 ans,femmes
65,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,76,12,180,5440,3.311,de 0 a  4 ans,femmes
66,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,76,46,100,3030,3.164,de 0 a  4 ans,femmes
67,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,76,66,260,10390,2.483,de 0 a  4 ans,femmes
68,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,76,82,280,6090,4.596,de 0 a  4 ans,femmes
69,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,76,9,100,3000,3.431,de 0 a  4 ans,femmes
70,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,84,1,420,16820,2.508,de 0 a  4 ans,femmes
71,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,84,15,80,2520,3.181,de 0 a  4 ans,femmes
72,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,84,3,210,6550,3.236,de 0 a  4 ans,femmes
73,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,84,42,660,19370,3.408,de 0 a  4 ans,femmes
74,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,84,63,520,15260,3.389,de 0 a  4 ans,femmes
75,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,93,5,80,2920,2.668,de 0 a  4 ans,femmes
76,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,93,84,420,14560,2.885,de 0 a  4 ans,femmes
77,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,94,,130,3430,3.644,de 0 a  4 ans,femmes
78,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,94,999,230,6440,3.528,de 0 a  4 ans,femmes
79,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,1,971,940,18030,5.186,de 0 a  4 ans,tous sexes
80,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,2,972,740,16320,4.554,de 0 a  4 ans,tous sexes
81,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,3,973,420,21560,1.943,de 0 a  4 ans,tous sexes
82,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,3,999,420,21560,1.943,de 0 a  4 ans,tous sexes
83,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,4,999,4730,63750,7.421,de 0 a  4 ans,tous sexes
84,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,6,976,130,15820,0.796,de 0 a  4 ans,tous sexes
85,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,6,999,130,15820,0.796,de 0 a  4 ans,tous sexes
86,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,11,75,4270,101580,4.2,de 0 a  4 ans,tous sexes
87,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,11,93,4920,122510,4.014,de 0 a  4 ans,tous sexes
88,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,11,94,3860,89840,4.292,de 0 a  4 ans,tous sexes
89,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,24,18,450,13090,3.437,de 0 a  4 ans,tous sexes
90,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,24,36,330,8360,3.913,de 0 a  4 ans,tous sexes
91,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,27,39,300,11470,2.59,de 0 a  4 ans,tous sexes
92,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,27,58,210,7570,2.787,de 0 a  4 ans,tous sexes
93,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,28,50,950,21420,4.431,de 0 a  4 ans,tous sexes
94,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,28,61,600,11520,5.191,de 0 a  4 ans,tous sexes
95,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,28,76,4040,67040,6.024,de 0 a  4 ans,tous sexes
96,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,28,999,8650,163360,5.294,de 0 a  4 ans,tous sexes
97,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,32,2,910,26540,3.409,de 0 a  4 ans,tous sexes
98,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,32,60,1630,46610,3.505,de 0 a  4 ans,tous sexes
99,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,32,62,4000,77540,5.16,de 0 a  4 ans,tous sexes
100,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,32,80,1000,27700,3.614,de 0 a  4 ans,tous sexes
101,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,32,999,14630,326370,4.482,de 0 a  4 ans,tous sexes
102,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,44,55,350,7760,4.448,de 0 a  4 ans,tous sexes
103,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,44,57,1200,44840,2.685,de 0 a  4 ans,tous sexes
104,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,52,44,3950,79420,4.975,de 0 a  4 ans,tous sexes
105,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,52,72,1090,27520,3.95,de 0 a  4 ans,tous sexes
106,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,53,35,2280,57370,3.976,de 0 a  4 ans,tous sexes
107,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,53,56,1200,33010,3.621,de 0 a  4 ans,tous sexes
108,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,53,999,6420,155940,4.12,de 0 a  4 ans,tous sexes
109,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,75,16,580,14580,3.984,de 0 a  4 ans,tous sexes
110,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,75,47,740,14460,5.084,de 0 a  4 ans,tous sexes
111,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,75,999,12690,265380,4.78,de 0 a  4 ans,tous sexes
112,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,76,12,480,10900,4.385,de 0 a  4 ans,tous sexes
113,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,76,34,3310,60200,5.505,de 0 a  4 ans,tous sexes
114,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,76,82,720,12600,5.698,de 0 a  4 ans,tous sexes
115,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,84,7,510,14130,3.595,de 0 a  4 ans,tous sexes
116,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,84,74,1250,46330,2.692,de 0 a  4 ans,tous sexes
117,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,84,999,17190,428160,4.015,de 0 a  4 ans,tous sexes
118,2020,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),RES_CAT_EXC,93,5,210,5970,3.52,de 0 a  4 ans,tous sexes
